Date,Team,Opponent,Team Score,Opponent Score,Team Result
3/10/13,Albany NY,Stony Brook,61,59,Win
3/10/13,Stony Brook,Albany NY,59,61,Loss
3/10/13,Indiana,Michigan,72,71,Win
3/10/13,Michigan,Indiana,71,72,Loss
3/10/13,Michigan St,Northwestern,71,61,Win
3/10/13,Northwestern,Michigan St,61,71,Loss
3/10/13,Ohio St,Illinois,68,55,Win
3/10/13,Illinois,Ohio St,55,68,Loss
3/10/13,Wisconsin,Penn St,63,60,Win
3/10/13,Penn St,Wisconsin,60,63,Loss
3/10/13,Temple,VA Commonwealth,84,76,Win
3/10/13,VA Commonwealth,Temple,76,84,Loss
3/10/13,Virginia,Maryland,61,58,Win
3/10/13,Maryland,Virginia,58,61,Loss
3/10/13,Wake Forest,Virginia Tech,90,79,Win
3/10/13,Virginia Tech,Wake Forest,79,90,Loss
3/9/13,Air Force,New Mexico,89,88,Win
3/9/13,New Mexico,Air Force,88,89,Loss
3/9/13,Kent,Akron,68,64,Win
3/9/13,Akron,Kent,64,68,Loss
3/9/13,Alabama,Georgia,61,58,Win
3/9/13,Georgia,Alabama,58,61,Loss
3/9/13,Albany NY,Maine,50,49,Win
3/9/13,Maine,Albany NY,49,50,Loss
3/9/13,Arizona,Arizona St,73,58,Win
3/9/13,Arizona St,Arizona,58,73,Loss
3/9/13,Arkansas,Texas A&M,73,62,Win
3/9/13,Texas A&M,Arkansas,62,73,Loss
3/9/13,Ball St,N Illinois,53,51,Win
3/9/13,N Illinois,Ball St,51,53,Loss
3/9/13,Baylor,Kansas,81,58,Win
3/9/13,Kansas,Baylor,58,81,Loss
3/9/13,Boise St,San Diego St,69,65,Win
3/9/13,San Diego St,Boise St,65,69,Loss
3/9/13,Boston College,Georgia Tech,74,72,Win
3/9/13,Georgia Tech,Boston College,72,74,Loss
3/9/13,Bowling Green,Buffalo,76,65,Win
3/9/13,Buffalo,Bowling Green,65,76,Loss
3/9/13,Brown,Princeton,80,67,Win
3/9/13,Princeton,Brown,67,80,Loss
3/9/13,Bucknell,Army,78,70,Win
3/9/13,Army,Bucknell,70,78,Loss
3/9/13,Butler,Xavier,67,62,Win
3/9/13,Xavier,Butler,62,67,Loss
3/9/13,Cal Poly SLO,CS Fullerton,62,60,Win
3/9/13,CS Fullerton,Cal Poly SLO,60,62,Loss
3/9/13,Cent Arkansas,Oral Roberts,86,84,Win
3/9/13,Oral Roberts,Cent Arkansas,84,86,Loss
3/9/13,Charlotte,St Joseph's PA,52,40,Win
3/9/13,St Joseph's PA,Charlotte,40,52,Loss
3/9/13,Cincinnati,South Florida,61,53,Win
3/9/13,South Florida,Cincinnati,53,61,Loss
3/9/13,Oregon St,Colorado,64,58,Win
3/9/13,Colorado,Oregon St,58,64,Loss
3/9/13,Colorado St,Nevada,77,66,Win
3/9/13,Nevada,Colorado St,66,77,Loss
3/9/13,Connecticut,Providence,63,59,Win
3/9/13,Providence,Connecticut,59,63,Loss
3/9/13,Dartmouth,Columbia,64,58,Win
3/9/13,Columbia,Dartmouth,58,64,Loss
3/9/13,Denver,Louisiana Tech,78,54,Win
3/9/13,Louisiana Tech,Denver,54,78,Loss
3/9/13,Pittsburgh,DePaul,81,66,Win
3/9/13,DePaul,Pittsburgh,66,81,Loss
3/9/13,Toledo,E Michigan,78,67,Win
3/9/13,E Michigan,Toledo,67,78,Loss
3/9/13,East Carolina,Marshall,86,79,Win
3/9/13,Marshall,East Carolina,79,86,Loss
3/9/13,Florida St,NC State,71,67,Win
3/9/13,NC State,Florida St,67,71,Loss
3/9/13,G Washington,Dayton,81,80,Win
3/9/13,Dayton,G Washington,80,81,Loss
3/9/13,Georgetown,Syracuse,61,39,Win
3/9/13,Syracuse,Georgetown,39,61,Loss
3/9/13,Harvard,Cornell,65,56,Win
3/9/13,Cornell,Harvard,56,65,Loss
3/9/13,Chicago St,Houston Bap,71,58,Win
3/9/13,Houston Bap,Chicago St,58,71,Loss
3/9/13,Idaho,Seattle,76,72,Win
3/9/13,Seattle,Idaho,72,76,Loss
3/9/13,Idaho St,Portland St,72,71,Win
3/9/13,Portland St,Idaho St,71,72,Loss
3/9/13,Iowa,Nebraska,74,60,Win
3/9/13,Nebraska,Iowa,60,74,Loss
3/9/13,Kentucky,Florida,61,57,Win
3/9/13,Florida,Kentucky,57,61,Loss
3/9/13,Lafayette,Lehigh,82,69,Win
3/9/13,Lehigh,Lafayette,69,82,Loss
3/9/13,Louisville,Notre Dame,73,57,Win
3/9/13,Notre Dame,Louisville,57,73,Loss
