Date,Team,Team Score,Opponent,Opponent Score,Team Result
11/8/13,Illinois,80,Alabama St,63,Win
11/8/13,Alabama St,63,Illinois,80,Loss
11/8/13,Mississippi St,71,Prairie View,56,Win
11/8/13,Prairie View,56,Mississippi St,71,Loss
11/8/13,Kansas,80,ULM,63,Win
11/8/13,ULM,63,Kansas,80,Loss
11/8/13,Loyola MD,79,Binghamton,74,Win
11/8/13,Binghamton,74,Loyola MD,79,Loss
11/8/13,Marshall,85,S Carolina St,69,Win
11/8/13,S Carolina St,69,Marshall,85,Loss
11/8/13,Marquette,63,Southern Univ,56,Win
11/8/13,Southern Univ,56,Marquette,63,Loss
11/8/13,Sam Houston St,77,TX Pan American,73,Win
11/8/13,TX Pan American,73,Sam Houston St,77,Loss
11/8/13,West Virginia,77,Mt St Mary's,62,Win
11/8/13,Mt St Mary's,62,West Virginia,77,Loss
11/8/13,SF Austin,90,UT Tyler,64,Win
11/8/13,UT Tyler,64,SF Austin,90,Loss
11/8/13,Samford,79,Martin Meth,62,Win
11/8/13,Martin Meth,62,Samford,79,Loss
11/8/13,Mississippi,69,Troy,54,Win
11/8/13,Troy,54,Mississippi,69,Loss
11/8/13,Texas Tech,76,Houston Bap,61,Win
11/8/13,Houston Bap,61,Texas Tech,76,Loss
11/8/13,Loyola-Chicago,76,WI Milwaukee,72,Win
11/8/13,WI Milwaukee,72,Loyola-Chicago,76,Loss
11/8/13,Liberty,74,Randolph Col,53,Win
11/8/13,Randolph Col,53,Liberty,74,Loss
11/8/13,NE Omaha,68,N Illinois,66,Win
11/8/13,N Illinois,66,NE Omaha,68,Loss
11/8/13,N Dakota St,93,Viterbo,49,Win
11/8/13,Viterbo,49,N Dakota St,93,Loss
11/8/13,Utah,128,Evergreen St,44,Win
11/8/13,Evergreen St,44,Utah,128,Loss
11/8/13,UAB,76,Columbus St,56,Win
11/8/13,Columbus St,56,UAB,76,Loss
11/8/13,Auburn,76,Nicholls St,54,Win
11/8/13,Nicholls St,54,Auburn,76,Loss
11/8/13,Arizona St,96,UMBC,61,Win
11/8/13,UMBC,61,Arizona St,96,Loss
11/8/13,Arkansas,99,Edwardsville,65,Win
11/8/13,Edwardsville,65,Arkansas,99,Loss
11/8/13,Youngstown St,73,Kennesaw,57,Win
11/8/13,Kennesaw,57,Youngstown St,73,Loss
11/8/13,Furman,66,Sewanee,49,Win
11/8/13,Sewanee,49,Furman,66,Loss
11/8/13,Loy Marymount,78,Grand Canyon,75,Win
11/8/13,Grand Canyon,75,Loy Marymount,78,Loss
11/8/13,Elon,114,Wash & Lee,64,Win
11/8/13,Wash & Lee,64,Elon,114,Loss
11/8/13,Oklahoma St,117,MS Valley St,62,Win
11/8/13,MS Valley St,62,Oklahoma St,117,Loss
11/8/13,Creighton,107,Alcorn St,61,Win
11/8/13,Alcorn St,61,Creighton,107,Loss
11/8/13,Texas A&M,82,Buffalo,58,Win
11/8/13,Buffalo,58,Texas A&M,82,Loss
11/8/13,Villanova,75,Lafayette,59,Win
11/8/13,Lafayette,59,Villanova,75,Loss
11/8/13,Bradley,72,Jacksonville St,65,Win
11/8/13,Jacksonville St,65,Bradley,72,Loss
11/8/13,Florida St,91,Jacksonville,67,Win
11/8/13,Jacksonville,67,Florida St,91,Loss
11/8/13,East Carolina,97,NC Wesleyan,51,Win
11/8/13,NC Wesleyan,51,East Carolina,97,Loss
11/8/13,Missouri,89,SE Louisiana,53,Win
11/8/13,SE Louisiana,53,Missouri,89,Loss
11/8/13,Houston,76,Texas St,70,Win
11/8/13,Texas St,70,Houston,76,Loss
11/8/13,Portland,100,UC Davis,83,Win
11/8/13,UC Davis,83,Portland,100,Loss
11/8/13,CS Northridge,86,Hope Intl,74,Win
11/8/13,Hope Intl,74,CS Northridge,86,Loss
11/8/13,Hawaii,85,Tennessee St,55,Win
11/8/13,Tennessee St,55,Hawaii,85,Loss
11/8/13,CS Sacramento,73,UC Santa Cruz,43,Win
11/8/13,UC Santa Cruz,43,CS Sacramento,73,Loss
11/8/13,St Francis NY,66,Miami FL,62,Win
11/8/13,Miami FL,62,St Francis NY,66,Loss
11/8/13,San Diego,74,S Dakota St,70,Win
11/8/13,S Dakota St,70,San Diego,74,Loss
11/8/13,Santa Barbara,76,Hawaii Pacific,50,Win
11/8/13,Hawaii Pacific,50,Santa Barbara,76,Loss
11/8/13,San Francisco,95,Notre Dame CA,57,Win
11/8/13,Notre Dame CA,57,San Francisco,95,Loss
11/8/13,W Carolina,77,Wittenberg,55,Win
11/8/13,Wittenberg,55,W Carolina,77,Loss
11/8/13,North Texas,72,Northwood TX,67,Win
11/8/13,Northwood TX,67,North Texas,72,Loss
11/8/13,Santa Clara,84,Bethesda,39,Win
11/8/13,Bethesda,39,Santa Clara,84,Loss
11/8/13,Charleston So,130,Johnson Bib,51,Win
11/8/13,Johnson Bib,51,Charleston So,130,Loss
11/8/13,California,83,Coppin St,64,Win
11/8/13,Coppin St,64,California,83,Loss
11/8/13,St Mary's CA,83,Louisiana Tech,70,Win
11/8/13,Louisiana Tech,70,St Mary's CA,83,Loss
11/8/13,W Michigan,70,New Mexico St,64,Win
11/8/13,New Mexico St,64,W Michigan,70,Loss
11/8/13,UCLA,72,Drexel,67,Win
11/8/13,Drexel,67,UCLA,72,Loss
11/8/13,Fresno St,98,UC Irvine,97,Win
11/8/13,UC Irvine,97,Fresno St,98,Loss
11/8/13,North Carolina,84,Oakland,61,Win
11/8/13,Oakland,61,North Carolina,84,Loss
11/8/13,Valparaiso,77,Murray St,74,Win
11/8/13,Murray St,74,Valparaiso,77,Loss
11/8/13,N Colorado,60,Kansas St,58,Win
11/8/13,Kansas St,58,N Colorado,60,Loss
11/8/13,Southern Utah,85,Arizona Chr,78,Win
11/8/13,Arizona Chr,78,Southern Utah,85,Loss
11/8/13,UCF,97,Tampa,72,Win
11/8/13,Tampa,72,UCF,97,Loss
11/8/13,TAM C. Christi,79,Huston-Tillot,45,Win
11/8/13,Huston-Tillot,45,TAM C. Christi,79,Loss
11/8/13,Southern Miss,67,Jackson St,51,Win
11/8/13,Jackson St,51,Southern Miss,67,Loss
11/8/13,Northwestern LA,92,Le Tourneau,76,Win
11/8/13,Le Tourneau,76,Northwestern LA,92,Loss
11/8/13,Stanford,72,Bucknell,68,Win
11/8/13,Bucknell,68,Stanford,72,Loss
11/8/13,Arizona,73,Cal Poly SLO,62,Win
11/8/13,Cal Poly SLO,62,Arizona,73,Loss
11/8/13,Washington St,62,CS Bakersfield,56,Win
11/8/13,CS Bakersfield,56,Washington St,62,Loss
11/8/13,Boise St,116,UT Arlington,87,Win
11/8/13,UT Arlington,87,Boise St,116,Loss
11/8/13,Utah St,78,USC,65,Win
11/8/13,USC,65,Utah St,78,Loss
11/8/13,Tulane,75,NJIT,64,Win
11/8/13,NJIT,64,Tulane,75,Loss
11/8/13,Iowa,82,UNC Wilmington,39,Win
11/8/13,UNC Wilmington,39,Iowa,82,Loss
11/8/13,Utah Valley,74,IUPUI,66,Win
11/8/13,IUPUI,66,Utah Valley,74,Loss
11/8/13,Rhode Island,97,Maine,77,Win
11/8/13,Maine,77,Rhode Island,97,Loss
11/8/13,BYU,81,Weber St,72,Win
11/8/13,Weber St,72,BYU,81,Loss
11/8/13,SMU,69,TCU,61,Win
11/8/13,TCU,61,SMU,69,Loss
11/8/13,San Diego St,77,UC Riverside,41,Win
11/8/13,UC Riverside,41,San Diego St,77,Loss
11/8/13,Wyoming,78,TN Martin,60,Win
11/8/13,TN Martin,60,Wyoming,78,Loss
11/8/13,Wisconsin,86,St John's,75,Win
11/8/13,St John's,75,Wisconsin,86,Loss
11/8/13,Baylor,72,Colorado,60,Win
11/8/13,Colorado,60,Baylor,72,Loss
11/8/13,Austin Peay,84,Oakland City,69,Win
11/8/13,Oakland City,69,Austin Peay,84,Loss
11/8/13,Air Force,79,Army,68,Win
11/8/13,Army,68,Air Force,79,Loss
11/8/13,Chattanooga,119,Covenant,56,Win
11/8/13,Covenant,56,Chattanooga,119,Loss
11/8/13,E Kentucky,83,Florida Intl,61,Win
11/8/13,Florida Intl,61,E Kentucky,83,Loss
11/8/13,Connecticut,78,Maryland,77,Win
11/8/13,Maryland,77,Connecticut,78,Loss
11/8/13,Providence,82,Boston College,78,Win
11/8/13,Boston College,78,Providence,82,Loss
11/8/13,UNLV,67,Portland St,48,Win
11/8/13,Portland St,48,UNLV,67,Loss
11/8/13,Florida,77,North Florida,69,Win
