,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Louisville,AAC,14.00,11.28,25.28,121.04,84.24,36.80
2,Arizona,Pac-12,7.30,16.85,24.14,116.11,79.72,36.39
3,Kansas,Big 12,14.38,6.95,21.32,121.64,90.58,31.07
4,Florida,SEC,4.84,15.94,20.78,116.42,84.59,31.83
5,Duke,ACC,14.30,6.00,20.30,125.59,94.84,30.76
6,Villanova,Big East,11.19,8.92,20.10,117.08,87.66,29.43
7,Michigan State,Big Ten,10.75,9.25,20.00,119.01,89.63,29.38
8,Creighton,Big East,13.45,6.39,19.84,126.40,96.95,29.46
9,Oklahoma State,Big 12,13.86,5.97,19.83,117.89,89.73,28.16
10,Iowa,Big Ten,16.79,2.63,19.42,120.10,92.31,27.79
11,Iowa State,Big 12,17.08,2.06,19.15,118.40,91.28,27.12
12,UCLA,Pac-12,14.80,4.15,18.94,119.10,92.17,26.93
13,Wisconsin,Big Ten,9.08,9.85,18.93,122.05,93.03,29.02
14,Michigan,Big Ten,9.44,9.48,18.92,123.98,95.08,28.90
15,Ohio State,Big Ten,3.78,14.72,18.50,111.35,83.13,28.22
16,Virginia,ACC,0.44,18.05,18.49,112.37,83.21,29.16
17,Kentucky,SEC,9.59,8.23,17.82,116.96,90.73,26.23
18,Pittsburgh,ACC,7.66,9.69,17.35,117.41,91.08,26.33
19,Wichita State,MVC,6.02,10.54,16.56,114.30,88.77,25.53
20,Tennessee,SEC,4.97,11.44,16.41,116.30,90.71,25.59
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
21,Syracuse,ACC,2.52,13.65,16.17,115.79,90.38,25.41
22,Gonzaga,WCC,6.31,9.75,16.06,114.16,90.44,23.72
23,Oregon,Pac-12,15.02,0.99,16.01,118.19,95.11,23.08
24,Connecticut,AAC,4.56,11.42,15.98,111.75,88.39,23.37
25,Oklahoma,Big 12,16.08,-0.34,15.73,118.23,95.84,22.40
26,Cincinnati,AAC,0.89,14.64,15.53,109.47,86.56,22.92
27,Baylor,Big 12,6.88,8.56,15.44,118.79,96.00,22.79
28,North Carolina,ACC,10.47,4.91,15.38,111.87,89.45,22.42
29,San Diego State,MWC,0.88,14.32,15.20,108.04,85.00,23.04
30,Virginia Commonwealth,A-10,7.97,6.99,14.96,108.04,86.32,21.72
31,Arkansas,SEC,13.41,1.14,14.55,112.15,92.22,19.93
32,Arizona State,Pac-12,9.01,5.00,14.01,111.15,90.69,20.47
33,Stanford,Pac-12,7.63,6.24,13.87,113.60,93.27,20.33
34,Utah,Pac-12,4.62,9.10,13.72,112.13,92.52,19.60
35,Southern Methodist,AAC,3.88,9.58,13.46,110.34,89.86,20.48
36,Memphis,AAC,9.05,4.28,13.33,111.42,92.36,19.05
37,New Mexico,MWC,7.32,5.93,13.25,113.98,93.95,20.02
38,Texas,Big 12,7.09,6.16,13.25,110.01,91.00,19.02
39,St. John's (NY),Big East,6.06,7.03,13.09,108.64,89.00,19.64
40,Xavier,Big East,6.42,6.59,13.00,114.36,94.99,19.36
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
41,Florida State,ACC,5.76,7.03,12.79,110.91,92.15,18.76
42,Louisiana Tech,CUSA,8.80,3.95,12.75,108.98,91.56,17.42
43,Kansas State,Big 12,2.15,10.50,12.66,108.71,89.55,19.16
44,West Virginia,Big 12,10.48,2.06,12.54,115.59,97.69,17.90
45,Brigham Young,WCC,15.84,-3.33,12.51,113.84,96.21,17.62
46,Providence,Big East,7.13,4.85,11.98,113.82,95.74,18.07
47,Minnesota,Big Ten,5.86,6.10,11.97,113.14,95.04,18.10
48,Colorado,Pac-12,4.80,7.16,11.95,109.83,92.74,17.09
49,Saint Louis,A-10,1.98,9.72,11.69,104.36,87.19,17.17
50,Indiana,Big Ten,6.06,5.55,11.61,107.37,91.23,16.14
51,Georgetown,Big East,3.79,7.74,11.53,112.15,94.92,17.23
52,Maryland,ACC,6.43,5.05,11.48,108.68,91.00,17.68
53,Massachusetts,A-10,9.37,1.88,11.26,108.60,92.16,16.44
54,Clemson,ACC,-4.05,15.15,11.11,106.81,89.46,17.35
55,George Washington,A-10,5.06,5.84,10.89,110.16,94.04,16.11
56,Illinois,Big Ten,-1.15,12.00,10.85,107.14,90.51,16.63
57,California,Pac-12,5.60,5.21,10.81,110.79,94.90,15.89
58,Nebraska,Big Ten,2.97,7.83,10.80,109.23,92.82,16.42
59,Marquette,Big East,6.00,4.79,10.79,109.82,94.02,15.79
60,Harvard,Ivy,3.73,6.92,10.64,109.13,92.08,17.06
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
61,Missouri,SEC,7.25,3.32,10.56,113.56,98.13,15.42
62,Louisiana State,SEC,8.55,1.78,10.33,109.20,94.07,15.14
63,Dayton,A-10,5.18,4.57,9.75,112.52,97.57,14.95
64,Saint Mary's (CA),WCC,2.42,7.00,9.42,112.85,98.60,14.24
65,Boise State,MWC,6.94,2.30,9.24,114.36,100.79,13.57
66,Saint Joseph's,A-10,3.61,5.59,9.20,110.46,96.33,14.13
67,Texas Tech,Big 12,0.83,8.28,9.11,111.62,98.74,12.89
68,Nevada-Las Vegas,MWC,3.14,5.83,8.97,106.56,93.22,13.34
69,Penn State,Big Ten,5.76,2.88,8.64,111.27,98.06,13.21
70,North Carolina State,ACC,6.13,2.48,8.62,112.12,98.77,13.35
71,Alabama,SEC,0.12,8.37,8.50,107.23,94.70,12.53
