"","Team","teamScore","elo","index"
"89","Florida",64,1572.64314977453,28
"338","Wichita St",65,1559.47260770189,18
"147","Louisville",65,1496.71956729365,8
"104","Gonzaga",64,1481.10402298832,29
"10","Arizona",64,1480.40423813003,19
"195","New Mexico",64,1476.30606896518,40
"74","Duke",65,1469.3850642515,6
"259","SF Austin",58,1448.98927412461,306
"280","Syracuse",63,1434.72312879062,95
"248","San Diego St",61,1426.12795372717,212
"166","Michigan",63,1421.57707373188,79
"323","Virginia",65,1415.91086347827,17
"132","Kansas",64,1409.62210468525,32
"59","Creighton",64,1400.49129149246,24
"322","Villanova",62,1395.09797836216,165
"46","Cincinnati",64,1389.24394426887,21
"146","Louisiana Tech",64,1388.1131696133,33
"167","Michigan St",64,1385.47665627347,35
"318","VA Commonwealth",65,1384.49150630207,16
"304","UCLA",65,1382.56288575563,15
"274","St Louis",62,1381.41533821205,160
"162","Memphis",63,1376.9086401659,77
"125","Iowa St",64,1373.51318539407,31
"341","Wisconsin",64,1369.18910428156,52
"56","Connecticut",64,1368.56431409422,23
"225","Pittsburgh",65,1354.50410857008,12
"214","Ohio St",64,1354.34764989219,43
"168","Middle Tenn St",64,1348.2460467293,36
"266","Southern Miss",63,1346.56690758055,93
"184","N Dakota St",59,1342.15818573361,275
"219","Oregon",63,1334.30221528188,89
"202","North Carolina",62,1331.77375560708,140
"108","Harvard",57,1322.11520028479,317
"136","Kentucky",65,1311.8389226185,7
"189","NC Central",60,1307.07836515911,254
"21","Belmont",61,1306.27151598331,175
"215","Oklahoma",62,1304.51661429232,144
"275","St Mary's CA",63,1282.92419678434,94
"158","Massachusetts",61,1281.89467344086,202
"133","Kansas St",62,1278.9875472775,134
"77","E Kentucky",62,1277.87332830986,120
"273","St Joseph's PA",62,1276.18423339658,159
"53","Colorado",64,1275.18458495327,22
"34","BYU",64,1270.35161656514,20
"190","NC State",65,1267.77795257951,9
"216","Oklahoma St",63,1266.77350319889,86
"172","Missouri",64,1261.0387634363,39
"163","Mercer",66,1253.35461547342,2
"20","Baylor",65,1250.16881735388,4
"292","Toledo",61,1248.30476222289,219
"213","Ohio",65,1246.38795836608,11
"67","Delaware",65,1241.56396203295,5
"329","W Michigan",61,1239.1925502094,227
"196","New Mexico St",65,1239.02441717272,10
"2","Akron",63,1234.14770676066,53
"310","UNLV",64,1232.98254893855,49
"11","Arizona St",63,1232.28528987079,54
"231","Providence",64,1231.88313515218,44
"100","Georgetown",60,1229.68161996393,244
"66","Dayton",63,1228.26306862281,62
"121","Indiana",63,1223.44710820279,71
"277","Stanford",64,1219.19660863678,46
